,date,sum_bike,mean_tmp,sum_dates
339,2020-12-05,4501.0,0.5833333333333334,24
340,2020-12-06,1667.0,1.375,24
341,2020-12-07,7683.0,0.5416666666666666,24
342,2020-12-08,8451.0,-2.0833333333333335,24
343,2020-12-09,6921.0,0.8333333333333334,24
344,2020-12-10,8559.0,-0.6666666666666666,24
345,2020-12-11,8836.0,0.25,24
346,2020-12-12,4180.0,2.3333333333333335,24
347,2020-12-13,2236.0,2.6666666666666665,24
348,2020-12-14,9230.0,1.25,24
349,2020-12-15,9663.0,2.875,24
350,2020-12-16,5756.0,5.916666666666667,24
351,2020-12-17,5857.0,3.5833333333333335,24
352,2020-12-18,5373.0,3.9166666666666665,24
353,2020-12-19,3273.0,3.5416666666666665,24
354,2020-12-20,2162.0,1.7083333333333333,24
355,2020-12-21,4848.0,4.166666666666667,24
356,2020-12-22,5224.0,7.333333333333333,24
357,2020-12-23,4358.0,7.541666666666667,24
358,2020-12-24,2172.0,7.083333333333333,24
359,2020-12-25,929.0,1.4166666666666667,24
360,2020-12-26,1514.0,-1.0416666666666667,24
361,2020-12-27,1329.0,-1.5,24
362,2020-12-28,2285.0,-0.625,24
363,2020-12-29,3375.0,-0.375,24
364,2020-12-30,3373.0,0.3333333333333333,24
365,2020-12-31,2725.0,-1.125,24
366,2021-01-01,4.0,-1.0,1
